round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,Louper - Tool for inspecting Diamond (EIP-2535) smart contracts,1988,north_america,dApp Tech,https://gitcoin.co/grants/1988/louper-tool-for-inspecting-diamond-eip-2535-smart,5,55,52,1443,1443,1448,1448,north america,1,2341629,4
GR12,12,2021-12-01,2021-12-16,Endangered Tokens: Invest in a Scarce living being through NFTs and foster its survival,4200,latin_america,Grants Round 12,https://gitcoin.co/grants/4200/endangered-tokens-invest-in-a-scarce-living-being,5,36,35,385,385,390,390,latin america,1,237134,1
GR12,12,2021-12-01,2021-12-16,GivethTRACE,2154,undefined,dApp Tech,https://gitcoin.co/grants/2154/givethtrace,5,50,41,556,556,561,561,worlwide,1,1502191,4
GR12,12,2021-12-01,2021-12-16,"Code for Charity|Users>400,000| Years:9| Work:daily - income:$0 - Volunteers:70|Recommended by Firefox since today (Only 109 projects ever)",4303,europe,Grants Round 12,https://gitcoin.co/grants/4303/code-for-charityusers400000-years9-workdaily-inco,5,9,9,20,20,25,25,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,DAppChaser,1692,east_asia,Community,https://gitcoin.co/grants/1692/dappchaser,5,52,52,639,639,644,644,east asia,1,285554,5
GR12,12,2021-12-01,2021-12-16,Learning Data Science on the Ethereum Blockchain with @omnianalytics,562,none,Community,https://gitcoin.co/grants/562/learning-data-science-on-the-ethereum-blockchain-,5,34,34,416,416,421,421,worlwide,1,1502191,7
GR12,12,2021-12-01,2021-12-16,The ArtDAO,2315,europe,NFTs,https://gitcoin.co/grants/2315/the-artdao,4,72,57,218,218,222,222,europe,1,1386166,3
GR12,12,2021-12-01,2021-12-16,Sherlock,2035,north_america,Infra Tech,https://gitcoin.co/grants/2035/sherlock,4,78,37,535,535,539,539,north america,1,2341629,4
GR12,12,2021-12-01,2021-12-16,CryptoSheinix Community,1863,latin_america,Community,https://gitcoin.co/grants/1863/cryptosheinix-community,4,49,47,157,157,161,161,latin america,1,237134,4
GR12,12,2021-12-01,2021-12-16,NEPRI FINANCE: a multi-purpose Open Finance and Decentralized Financial platform  that makes DeFi services & tools accessible to anyone,2303,africa,dApp Tech,https://gitcoin.co/grants/2303/nepri-finance-a-multi-purpose-open-finance-and-de,4,69,62,125,125,129,129,africa,1,32850,4
GR12,12,2021-12-01,2021-12-16,RadicalxChange Foundation,63,north_america,Community,https://gitcoin.co/grants/63/radicalxchange-foundation,4,52,52,247,247,251,251,north america,1,2341629,9
GR12,12,2021-12-01,2021-12-16,Whonix - Anonymous Operating System,3760,undefined,Community,https://gitcoin.co/grants/3760/whonix-anonymous-operating-system,4,51,48,265,265,269,269,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Ethereum Studymaster,2130,north_america,Community,https://gitcoin.co/grants/2130/ethereum-studymaster,4,55,53,162,162,166,166,north america,1,2341629,4
GR12,12,2021-12-01,2021-12-16,UNI Letters,3526,europe,Community,https://gitcoin.co/grants/3526/uni-letters,4,55,46,113,113,117,117,europe,1,1386166,2
GR12,12,2021-12-01,2021-12-16,cadCAD: Computer Aided Design for Complex Systems,308,undefined,Infra Tech,https://gitcoin.co/grants/308/cadcad-computer-aided-design-for-complex-systems,4,43,41,251,251,255,255,worlwide,1,1502191,9
GR12,12,2021-12-01,2021-12-16,ChainBreaker Podcast,3926,east_asia,Community,https://gitcoin.co/grants/3926/chainbreaker-podcast,4,63,63,307,307,311,311,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,Fat Garage--newsLetter as NFT (jpeg),2445,east_asia,Community,https://gitcoin.co/grants/2445/fat-garage-newsletter-as-nft-jpeg,4,35,34,581,581,585,585,east asia,1,285554,2
GR12,12,2021-12-01,2021-12-16,Ethereum Translation Community CN,3247,east_asia,Community,https://gitcoin.co/grants/3247/ethereum-translation-community-cn,4,48,48,159,159,162,162,east asia,1,285554,2
GR12,12,2021-12-01,2021-12-16,Blockchain training in African languages,3023,africa,Community,https://gitcoin.co/grants/3023/blockchain-training-in-african-languages,4,34,34,264,264,268,268,africa,1,32850,3
GR12,12,2021-12-01,2021-12-16,DeFi Para Principiantes,4067,latin_america,Community,https://gitcoin.co/grants/4067/defi-para-principiantes,4,53,53,109,109,113,113,latin america,1,237134,1
