category,sum_crowdfunded,sum_match,ratio
APOLLO,481,100,0.207378483
Building Gitcoin,231247,117387,0.5076228936
Community,2915746,2266254,0.7772467746
Crypto for Black Lives,13431,25003,1.861622719
dApp Tech,2404068,1570301,0.6531848665
dGov,226220,219941,0.9722479705
Grants Round 12,480177,581588,1.211193017
Health,57165,158337,2.769813335
Infra Tech,2352659,1441469,0.6126976851
Matic: Build-n-Earn,122,53,0.43145095
NFTs,675928,392661,0.5809213769
